GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,TRUSTA,RES_ONLYA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,NAME_E,RNGE001,RNGE002,RNGE003,RNGE004,RNGE005,RNGE006,RNGE007,RNGE008,RNGE009,RNGE010,RNGE011,RNGE012,RNGE013,RNGE014,RNGE015,RNGE016,RNGE017,RNHE001,NAME_M,RNGM001,RNGM002,RNGM003,RNGM004,RNGM005,RNGM006,RNGM007,RNGM008,RNGM009,RNGM010,RNGM011,RNGM012,RNGM013,RNGM014,RNGM015,RNGM016,RNGM017,RNHM001,GEOID10
"G41000109504001","2005-2009",,,"Oregon","41","Baker County","001",,,"950400","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 9504, Baker County, Oregon",543,80,32,77,12,27,32,15,32,11,58,62,64,32,9,0,0,39417,"Block Group 1, Census Tract 9504, Baker County, Oregon",74,43,30,44,19,30,30,18,30,17,36,37,46,25,14,123,123,12121,"410019504001"
"G41000109504002","2005-2009",,,"Oregon","41","Baker County","001",,,"950400","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 9504, Baker County, Oregon",384,52,46,66,23,8,25,100,0,0,0,18,38,8,0,0,0,26563,"Block Group 2, Census Tract 9504, Baker County, Oregon",94,48,36,64,38,13,26,78,123,123,123,21,36,12,123,123,123,19521,"410019504002"
"G41000109504003","2005-2009",,,"Oregon","41","Baker County","001",,,"950400","3",,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 9504, Baker County, Oregon",421,96,97,32,25,19,9,19,11,36,35,17,25,0,0,0,0,16989,"Block Group 3, Census Tract 9504, Baker County, Oregon",101,80,53,31,39,22,14,22,15,39,29,20,26,123,123,123,123,10366,"410019504003"
"G41000109505001","2005-2009",,,"Oregon","41","Baker County","001",,,"950500","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 9505, Baker County, Oregon",849,100,31,78,49,11,62,22,49,24,104,104,113,59,0,15,28,49688,"Block Group 1, Census Tract 9505, Baker County, Oregon",116,55,32,44,33,13,53,24,43,27,84,67,60,46,123,20,29,12588,"410019505001"
"G41000109505002","2005-2009",,,"Oregon","41","Baker County","001",,,"950500","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 9505, Baker County, Oregon",199,19,47,15,29,8,11,17,9,12,0,8,24,0,0,0,0,24095,"Block Group 2, Census Tract 9505, Baker County, Oregon",64,21,48,22,32,14,20,24,17,19,123,13,34,123,123,123,123,11617,"410019505002"
"G41000109506001","2005-2009",,,"Oregon","41","Baker County","001",,,"950600","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 9506, Baker County, Oregon",262,39,24,3,21,36,39,12,12,6,10,19,24,13,0,0,4,30769,"Block Group 1, Census Tract 9506, Baker County, Oregon",62,37,18,7,23,33,35,14,13,8,8,14,18,18,123,123,6,4079,"410019506001"
"G41000109506002","2005-2009",,,"Oregon","41","Baker County","001",,,"950600","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 9506, Baker County, Oregon",330,50,50,36,40,26,34,25,6,43,0,14,2,4,0,0,0,22500,"Block Group 2, Census Tract 9506, Baker County, Oregon",52,23,27,19,23,18,24,12,7,32,123,13,4,6,123,123,123,6795,"410019506002"
"G41000109506003","2005-2009",,,"Oregon","41","Baker County","001",,,"950600","3",,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 9506, Baker County, Oregon",250,72,22,24,18,13,0,5,14,2,29,21,14,8,0,0,8,21750,"Block Group 3, Census Tract 9506, Baker County, Oregon",69,62,18,26,21,10,123,6,19,3,22,17,16,8,123,123,12,11790,"410019506003"
"G41000109506004","2005-2009",,,"Oregon","41","Baker County","001",,,"950600","4",,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 9506, Baker County, Oregon",182,21,29,5,7,12,10,24,25,0,0,19,0,6,11,0,13,36094,"Block Group 4, Census Tract 9506, Baker County, Oregon",48,25,35,8,10,14,12,18,20,123,123,20,123,9,16,123,18,8042,"410019506004"
"G41000300001001","2005-2009",,,"Oregon","41","Benton County","003",,,"000100","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 1, Benton County, Oregon",506,45,16,88,11,27,74,16,8,26,38,73,48,36,0,0,0,34355,"Block Group 1, Census Tract 1, Benton County, Oregon",124,54,25,98,17,25,47,20,13,39,47,55,54,32,123,123,123,15660,"410030001001"
"G41000300001002","2005-2009",,,"Oregon","41","Benton County","003",,,"000100","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 1, Benton County, Oregon",597,97,56,51,60,67,69,46,15,37,14,48,0,11,0,13,13,28234,"Block Group 2, Census Tract 1, Benton County, Oregon",119,74,48,43,46,48,59,57,24,57,20,53,123,18,123,20,21,5085,"410030001002"
"G41000300001003","2005-2009",,,"Oregon","41","Benton County","003",,,"000100","3",,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 1, Benton County, Oregon",452,12,0,0,14,49,21,38,52,9,22,90,101,44,0,0,0,61125,"Block Group 3, Census Tract 1, Benton County, Oregon",99,19,123,123,22,40,23,54,68,15,27,50,72,49,123,123,123,20246,"410030001003"
"G41000300001004","2005-2009",,,"Oregon","41","Benton County","003",,,"000100","4",,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 1, Benton County, Oregon",942,132,85,83,12,19,0,42,67,27,132,128,85,83,0,23,24,50137,"Block Group 4, Census Tract 1, Benton County, Oregon",148,102,57,73,19,24,123,45,45,31,84,68,53,76,123,27,28,10133,"410030001004"
"G41000300002001","2005-2009",,,"Oregon","41","Benton County","003",,,"000200","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 2, Benton County, Oregon",476,12,11,0,23,25,0,0,43,15,16,73,74,55,35,31,63,79674,"Block Group 1, Census Tract 2, Benton County, Oregon",49,20,17,123,26,24,123,123,38,23,17,39,46,34,29,25,38,13765,"410030002001"
"G41000300002002","2005-2009",,,"Oregon","41","Benton County","003",,,"000200","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 2, Benton County, Oregon",1706,151,64,194,52,61,73,109,117,30,138,159,255,96,88,35,84,50185,"Block Group 2, Census Tract 2, Benton County, Oregon",140,112,44,138,49,50,52,62,81,30,66,55,90,64,52,34,50,13719,"410030002002"
"G41000300003001","2005-2009",,,"Oregon","41","Benton County","003",,,"000300","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 3, Benton County, Oregon",813,44,28,53,5,0,8,44,29,56,35,98,148,124,85,25,31,76806,"Block Group 1, Census Tract 3, Benton County, Oregon",91,33,35,45,8,123,12,35,32,37,30,62,74,72,49,29,30,20896,"410030003001"
"G41000300003002","2005-2009",,,"Oregon","41","Benton County","003",,,"000300","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 3, Benton County, Oregon",829,14,12,27,14,0,45,11,37,39,125,71,120,117,91,41,65,76875,"Block Group 2, Census Tract 3, Benton County, Oregon",112,16,15,43,22,123,49,15,32,41,89,42,62,63,56,42,52,18356,"410030003002"
"G41000300004001","2005-2009",,,"Oregon","41","Benton County","003",,,"000400","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 4, Benton County, Oregon",913,207,32,34,70,67,68,33,13,17,38,109,41,63,33,33,55,31710,"Block Group 1, Census Tract 4, Benton County, Oregon",146,118,33,32,86,46,68,32,24,27,49,82,31,39,27,32,45,7507,"410030004001"
"G41000300004002","2005-2009",,,"Oregon","41","Benton County","003",,,"000400","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 4, Benton County, Oregon",1110,38,20,18,32,56,32,33,9,37,75,57,184,234,105,95,85,89148,"Block Group 2, Census Tract 4, Benton County, Oregon",123,35,24,21,28,57,29,30,14,35,48,41,88,100,57,60,45,13433,"410030004002"
"G41000300004003","2005-2009",,,"Oregon","41","Benton County","003",,,"000400","3",,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 4, Benton County, Oregon",682,18,40,19,41,10,26,7,22,15,76,36,129,81,71,91,0,78106,"Block Group 3, Census Tract 4, Benton County, Oregon",90,28,35,17,47,17,31,11,26,21,57,36,80,49,52,44,123,11051,"410030004003"
"G41000300004004","2005-2009",,,"Oregon","41","Benton County","003",,,"000400","4",,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 4, Benton County, Oregon",377,11,0,12,11,10,70,0,12,0,11,33,72,86,38,11,0,76927,"Block Group 4, Census Tract 4, Benton County, Oregon",78,17,123,19,17,16,81,123,19,123,18,31,51,47,35,17,123,24547,"410030004004"
"G41000300005001","2005-2009",,,"Oregon","41","Benton County","003",,,"000500","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 5, Benton County, Oregon",288,13,8,0,0,38,5,0,0,8,34,35,55,51,0,41,0,75500,"Block Group 1, Census Tract 5, Benton County, Oregon",52,20,13,123,123,27,9,123,123,14,24,27,39,32,123,34,123,10878,"410030005001"
"G41000300005002","2005-2009",,,"Oregon","41","Benton County","003",,,"000500","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 5, Benton County, Oregon",554,0,0,0,19,0,0,24,10,0,17,72,52,113,72,91,84,119259,"Block Group 2, Census Tract 5, Benton County, Oregon",67,123,123,123,21,123,123,23,16,123,20,52,31,64,47,49,50,12763,"410030005002"
"G41000300005003","2005-2009",,,"Oregon","41","Benton County","003",,,"000500","3",,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 5, Benton County, Oregon",482,62,0,0,21,20,64,9,10,18,77,88,60,20,23,10,0,54338,"Block Group 3, Census Tract 5, Benton County, Oregon",84,50,123,123,25,23,55,14,15,21,57,43,35,23,26,17,123,8769,"410030005003"
"G41000300006001","2005-2009",,,"Oregon","41","Benton County","003",,,"000600","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 6, Benton County, Oregon",656,11,0,21,175,91,13,79,24,4,64,46,79,21,11,17,0,37615,"Block Group 1, Census Tract 6, Benton County, Oregon",133,19,123,24,98,77,21,80,30,7,56,38,59,23,18,27,123,10760,"410030006001"
"G41000300006002","2005-2009",,,"Oregon","41","Benton County","003",,,"000600","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 6, Benton County, Oregon",411,15,0,19,19,14,98,0,13,42,0,30,89,51,0,14,7,48705,"Block Group 2, Census Tract 6, Benton County, Oregon",77,21,123,29,29,21,58,123,21,38,123,34,54,40,123,18,14,21555,"410030006002"
"G41000300006003","2005-2009",,,"Oregon","41","Benton County","003",,,"000600","3",,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 6, Benton County, Oregon",908,96,69,138,32,39,49,62,71,94,21,30,106,86,0,15,0,36520,"Block Group 3, Census Tract 6, Benton County, Oregon",148,115,58,82,34,35,52,51,71,73,25,34,66,51,123,23,123,11169,"410030006003"
"G41000300007001","2005-2009",,,"Oregon","41","Benton County","003",,,"000700","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 7, Benton County, Oregon",217,9,47,57,18,24,13,16,17,0,6,0,0,7,3,0,0,19803,"Block Group 1, Census Tract 7, Benton County, Oregon",79,15,37,51,23,33,21,10,30,123,10,123,123,13,8,123,123,9177,"410030007001"
"G41000300007002","2005-2009",,,"Oregon","41","Benton County","003",,,"000700","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 7, Benton County, Oregon",500,142,47,6,84,58,9,59,0,0,34,4,46,4,0,0,7,23550,"Block Group 2, Census Tract 7, Benton County, Oregon",128,99,51,12,73,89,15,93,123,123,43,8,48,9,123,123,12,10208,"410030007002"
"G41000300008011","2005-2009",,,"Oregon","41","Benton County","003",,,"000801","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 8.01, Benton County, Oregon",531,133,37,52,20,42,12,29,11,29,25,54,24,22,22,10,9,26399,"Block Group 1, Census Tract 8.01, Benton County, Oregon",102,93,27,36,18,37,19,30,17,36,27,33,24,22,24,16,14,13690,"410030008011"
"G41000300008012","2005-2009",,,"Oregon","41","Benton County","003",,,"000801","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 8.01, Benton County, Oregon",391,175,87,9,0,12,47,0,0,0,20,41,0,0,0,0,0,10986,"Block Group 2, Census Tract 8.01, Benton County, Oregon",120,86,54,15,123,19,74,123,123,123,23,51,123,123,123,123,123,3366,"410030008012"
"G41000300008013","2005-2009",,,"Oregon","41","Benton County","003",,,"000801","3",,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 8.01, Benton County, Oregon",25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3162,"Block Group 3, Census Tract 8.01, Benton County, Oregon",28,28,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,2557,"410030008013"
"G41000300008021","2005-2009",,,"Oregon","41","Benton County","003",,,"000802","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 8.02, Benton County, Oregon",274,47,8,0,48,74,6,6,55,0,0,0,11,19,0,0,0,26349,"Block Group 1, Census Tract 8.02, Benton County, Oregon",109,44,13,123,50,66,10,10,64,123,123,123,10,24,123,123,123,3434,"410030008021"
"G41000300008022","2005-2009",,,"Oregon","41","Benton County","003",,,"000802","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 8.02, Benton County, Oregon",128,42,60,9,17,0,0,0,0,0,0,0,0,0,0,0,0,10917,"Block Group 2, Census Tract 8.02, Benton County, Oregon",85,36,70,15,27,123,123,123,123,123,123,123,123,123,123,123,123,2238,"410030008022"
"G41000300008023","2005-2009",,,"Oregon","41","Benton County","003",,,"000802","3",,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 8.02, Benton County, Oregon",1135,648,118,102,0,64,83,32,9,20,24,6,22,7,0,0,0,8906,"Block Group 3, Census Tract 8.02, Benton County, Oregon",179,210,97,68,123,94,59,35,16,20,23,10,22,10,123,123,123,2216,"410030008023"
"G41000300008024","2005-2009",,,"Oregon","41","Benton County","003",,,"000802","4",,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 8.02, Benton County, Oregon",24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8421,"Block Group 4, Census Tract 8.02, Benton County, Oregon",33,33,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,7353,"410030008024"
"G41000300009001","2005-2009",,,"Oregon","41","Benton County","003",,,"000900","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 9, Benton County, Oregon",335,14,16,51,13,0,0,0,0,0,0,40,81,87,16,0,17,81696,"Block Group 1, Census Tract 9, Benton County, Oregon",99,22,26,76,22,123,123,123,123,123,123,30,45,53,26,123,28,27225,"410030009001"
"G41000300009002","2005-2009",,,"Oregon","41","Benton County","003",,,"000900","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 9, Benton County, Oregon",354,0,7,73,13,95,27,47,16,0,0,33,25,6,0,12,0,29590,"Block Group 2, Census Tract 9, Benton County, Oregon",125,123,11,78,21,95,40,57,26,123,123,31,30,12,123,19,123,10219,"410030009002"
"G41000300009003","2005-2009",,,"Oregon","41","Benton County","003",,,"000900","3",,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 9, Benton County, Oregon",969,108,35,7,177,15,82,64,45,55,82,42,31,90,35,66,35,39375,"Block Group 3, Census Tract 9, Benton County, Oregon",116,66,42,12,82,23,64,58,43,53,65,49,30,51,27,42,34,9351,"410030009003"
"G41000300009004","2005-2009",,,"Oregon","41","Benton County","003",,,"000900","4",,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 9, Benton County, Oregon",403,0,0,0,0,0,14,15,0,41,36,0,11,94,41,134,17,118516,"Block Group 4, Census Tract 9, Benton County, Oregon",73,123,123,123,123,123,23,23,123,50,38,123,19,63,41,83,20,33092,"410030009004"
"G41000300009005","2005-2009",,,"Oregon","41","Benton County","003",,,"000900","5",,,,,,,,,,,,,,,,,,,,,,"Block Group 5, Census Tract 9, Benton County, Oregon",321,0,20,52,10,0,15,40,0,9,0,23,37,40,37,31,7,68068,"Block Group 5, Census Tract 9, Benton County, Oregon",66,123,31,45,16,123,24,35,123,15,123,26,35,32,37,24,14,42739,"410030009005"
"G41000300010011","2005-2009",,,"Oregon","41","Benton County","003",,,"001001","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 10.01, Benton County, Oregon",465,21,10,45,44,62,41,9,36,26,41,28,42,17,25,0,18,42535,"Block Group 1, Census Tract 10.01, Benton County, Oregon",70,23,16,45,34,38,39,16,54,25,40,27,30,18,40,123,20,18271,"410030010011"
"G41000300010012","2005-2009",,,"Oregon","41","Benton County","003",,,"001001","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 10.01, Benton County, Oregon",637,180,67,153,64,22,0,45,19,56,11,0,10,0,0,0,10,17383,"Block Group 2, Census Tract 10.01, Benton County, Oregon",129,105,44,91,40,29,123,41,26,44,16,123,15,123,123,123,17,2540,"410030010012"
"G41000300010013","2005-2009",,,"Oregon","41","Benton County","003",,,"001001","3",,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 10.01, Benton County, Oregon",518,90,10,88,36,14,0,0,8,48,87,35,49,35,18,0,0,45833,"Block Group 3, Census Tract 10.01, Benton County, Oregon",103,63,15,50,28,17,123,123,12,52,75,25,38,24,21,123,123,27156,"410030010013"
"G41000300010021","2005-2009",,,"Oregon","41","Benton County","003",,,"001002","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 10.02, Benton County, Oregon",476,115,32,78,58,10,0,32,3,0,8,56,19,27,24,14,0,21161,"Block Group 1, Census Tract 10.02, Benton County, Oregon",99,77,33,77,54,16,123,30,7,123,14,34,22,24,26,21,123,6623,"410030010021"
"G41000300010022","2005-2009",,,"Oregon","41","Benton County","003",,,"001002","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 10.02, Benton County, Oregon",509,78,0,18,29,37,83,20,13,0,56,68,39,45,0,16,7,36188,"Block Group 2, Census Tract 10.02, Benton County, Oregon",86,62,123,21,21,32,57,23,16,123,38,47,35,35,123,21,11,18000,"410030010022"
"G41000300010023","2005-2009",,,"Oregon","41","Benton County","003",,,"001002","3",,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 10.02, Benton County, Oregon",249,7,0,31,3,0,21,0,0,9,104,19,44,0,11,0,0,55184,"Block Group 3, Census Tract 10.02, Benton County, Oregon",57,11,123,32,6,123,23,123,123,15,46,22,35,123,16,123,123,2621,"410030010023"
"G41000300011011","2005-2009",,,"Oregon","41","Benton County","003",,,"001101","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 11.01, Benton County, Oregon",189,76,10,40,23,7,9,11,0,0,6,7,0,0,0,0,0,18031,"Block Group 1, Census Tract 11.01, Benton County, Oregon",70,57,13,61,21,10,10,13,123,123,10,12,123,123,123,123,123,14912,"410030011011"
"G41000300011012","2005-2009",,,"Oregon","41","Benton County","003",,,"001101","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 11.01, Benton County, Oregon",440,193,49,18,37,14,30,8,0,36,21,34,0,0,0,0,0,11378,"Block Group 2, Census Tract 11.01, Benton County, Oregon",84,66,44,21,38,21,26,13,123,38,33,39,123,123,123,123,123,7789,"410030011012"
"G41000300011013","2005-2009",,,"Oregon","41","Benton County","003",,,"001101","3",,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 11.01, Benton County, Oregon",355,184,31,33,26,0,51,0,11,6,13,0,0,0,0,0,0,8839,"Block Group 3, Census Tract 11.01, Benton County, Oregon",117,102,46,53,28,123,58,123,17,10,21,123,123,123,123,123,123,10484,"410030011013"
"G41000300011014","2005-2009",,,"Oregon","41","Benton County","003",,,"001101","4",,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 11.01, Benton County, Oregon",133,41,10,20,0,0,0,0,16,0,8,19,7,12,0,0,0,16938,"Block Group 4, Census Tract 11.01, Benton County, Oregon",46,40,11,30,123,123,123,123,18,123,13,22,15,9,123,123,123,49804,"410030011014"
"G41000300011021","2005-2009",,,"Oregon","41","Benton County","003",,,"001102","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 11.02, Benton County, Oregon",335,31,12,0,33,15,15,46,66,0,31,0,75,11,0,0,0,41761,"Block Group 1, Census Tract 11.02, Benton County, Oregon",82,36,21,123,40,19,23,41,38,123,34,123,51,17,123,123,123,5111,"410030011021"
"G41000300011022","2005-2009",,,"Oregon","41","Benton County","003",,,"001102","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 11.02, Benton County, Oregon",627,215,0,97,25,55,39,0,40,0,45,44,0,38,29,0,0,20221,"Block Group 2, Census Tract 11.02, Benton County, Oregon",150,88,123,65,31,87,32,123,68,123,43,25,123,43,45,123,123,13201,"410030011022"
"G41000300011023","2005-2009",,,"Oregon","41","Benton County","003",,,"001102","3",,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 11.02, Benton County, Oregon",308,46,14,54,0,0,8,26,0,15,25,44,28,39,9,0,0,46000,"Block Group 3, Census Tract 11.02, Benton County, Oregon",75,45,17,64,123,123,13,33,123,23,26,30,32,36,14,123,123,26412,"410030011023"
"G41000300011024","2005-2009",,,"Oregon","41","Benton County","003",,,"001102","4",,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 11.02, Benton County, Oregon",568,241,91,21,119,9,7,18,23,0,21,0,18,0,0,0,0,11680,"Block Group 4, Census Tract 11.02, Benton County, Oregon",154,105,98,28,112,14,12,23,36,123,25,123,21,123,123,123,123,5748,"410030011024"
"G41000300101001","2005-2009",,,"Oregon","41","Benton County","003",,,"010100","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 101, Benton County, Oregon",283,0,0,14,0,34,0,0,0,12,11,13,42,85,11,48,13,102039,"Block Group 1, Census Tract 101, Benton County, Oregon",54,123,123,22,123,33,123,123,123,21,17,20,32,50,16,41,20,11780,"410030101001"
"G41000300101002","2005-2009",,,"Oregon","41","Benton County","003",,,"010100","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 101, Benton County, Oregon",693,0,10,0,0,15,0,75,60,41,23,56,135,95,84,26,73,86583,"Block Group 2, Census Tract 101, Benton County, Oregon",79,123,17,123,123,24,123,70,45,33,20,45,68,68,54,39,43,19979,"410030101002"
